(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[4.95, 0, 0, 0]
(0, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.95, 49.944, 50, 50]
(0, 1.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.912, 50, 50, 50]
(0, 1.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.91, 49.939, 50, 50]
(1, 0.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[50, 50, 49.923, 50]
(1, 0.0, 2, 0, 1, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.905, 50, 50, 50]
(1, 1.0, 2, 0, 2, 0, 2, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0);[49.923, 50, 50, 50]
(0, 0.0, 2, 0, 2, 0, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.927, 50, 50, 50]
(0, 0.0, 1, 1, 2, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.893, 50, 50, 50]
(0, 1.0, 2, 1, 2, 0, 1, 1, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[49.889, 50, 50, 50]
(0, 1.0, 1, 1, 2, 0, 1, 1, 2, 0, 0, 1, 2, 0, 0, 0, 2, 0);[49.881, 50, 50, 50]
(0, 1.0, 1, 1, 2, 0, 1, 1, 2, 0, 0, 1, 2, 0, 0, 1, 2, 0);[49.88, 50, 50, 50.0]
(3, 0.0, 2, 2, 3, 0, 2, 2, 3, 0, 0, 1, 2, 0, 0, 1, 2, 0);[50, 50, 49.87, 50]
(3, 0.0, 2, 2, 3, 0, 2, 2, 3, 0, 1, 1, 2, 0, 1, 1, 2, 0);[49.856, 50, 50, 50]
(3, 1.0, 3, 2, 3, 0, 3, 2, 3, 0, 1, 1, 2, 0, 1, 2, 2, 0);[50, 50, 50, 49.825]
(3, 1.0, 3, 2, 3, 0, 3, 2, 3, 0, 2, 2, 3, 0, 2, 2, 3, 0);[49.852, 50, 50, 50]
(0, 0.0, 3, 2, 3, 0, 3, 2, 3, 0, 0, 2, 3, 0, 0, 2, 3, 0);[49.885, 50, 50, 50]
(0, 0.0, 2, 3, 3, 0, 2, 3, 3, 0, 0, 2, 3, 0, 0, 2, 3, 0);[49.853, 50, 50, 50]
(0, 1.0, 2, 3, 3, 0, 2, 3, 3, 0, 0, 2, 3, 0, 0, 2, 3, 0);[50, 50, 50, 50]
